;
;	Constellation names and location to draw them
;
;	RA * 1000, Dec * 100, Constellation_name, Constellation_abbreviation
;
564,3925,Andromeda,And
10118,-3365,Antlia,Ant
16134,-7641,Apus,Aps
22697,-1053,Aquarius,Aqr
19690,337,Aquila,Aql
17231,-5189,Ara,Ara
2676,2257,Aries,Ari
5947,4281,Auriga,Aur
14687,3233,Boötes,Boo
4721,-3883,Caelum,Cae
6151,7196,Camelopardalis,Cam
8497,2356,Cancer,Cnc
13020,4235,Canes_Venatici,CVn
6830,-2269,Canis_Major,CMa
7624,676,Canis_Minor,CMi
21048,-1965,Capricornus,Cap
7761,-5717,Carina,Car
870,6030,Cassiopeia,Cas
12950,-4400,Centaurus,Cen
22417,7256,Cepheus,Cep
1709,-664,Cetus,Cet
12000,-8199,Chamaeleon,Cha
14527,-6770,Circinus,Cir
5705,-3708,Columba,Col
12748,2265,Coma_Berenices,Com
18655,-4125,Corona_Australis,CrA
15880,3263,Corona_Borealis,CrB
12387,-1836,Corvus,Crv
11348,-1325,Crater,Crt
12481,-6070,Crux,Cru
20598,4958,Cygnus,Cyg
20663,1210,Delphinus,Del
5333,-6399,Dorado,Dor
17945,6606,Draco,Dra
21251,794,Equuleus,Equ
3876,-1701,Eridanus,Eri
2766,-2694,Fornax,For
6848,2482,Gemini,Gem
22457,-4586,Grus,Gru
17425,3123,Hercules,Her
3212,-5200,Horologium,Hor
9136,-1132,Hydra,Hya
2589,-7208,Hydrus,Hyi
21138,-5268,Indus,Ind
22514,4667,Lacerta,Lac
10000,700,Leo,Leo
10316,3324,Leo_Minor,LMi
5436,-1935,Lepus,Lep
15187,-1545,Libra,Lib
15376,-4228,Lupus,Lup
7734,4783,Lynx,Lyn
18908,4065,Lyra,Lyr
5500,-7999,Mensa,Men
20942,-3620,Microscopium,Mic
6962,-374,Monoceros,Mon
12460,-6987,Musca,Mus
16042,-5229,Norma,Nor
22173,-8473,Octans,Oct
17037,-265,Ophiuchus,Oph
5566,359,Orion,Ori
19160,-6514,Pavo,Pav
22617,1965,Pegasus,Peg
3514,4489,Perseus,Per
732,-4823,Phoenix,Phe
5381,-5163,Pictor,Pic
891,1548,Pisces,Psc
22410,-3143,Piscis_Austrinus,PsA
7873,-3239,Puppis,Pup
8891,-2921,Pyxis,Pyx
3899,-6049,Reticulum,Ret
19667,1700,Sagitta,Sge
19385,-2911,Sagittarius,Sgr
16865,-3567,Scorpius,Sco
1000,-3849,Sculptor,Scl
18651,-1011,Scutum,Sct
15731,1085,Serpens_Caput,Ser
17958,-1352,Serpens_Cauda,Ser
10102,-187,Sextans,Sex
4095,1734,Taurus,Tau
19244,-5154,Telescopium,Tel
2043,3234,Triangulum,Tri
16124,-6590,Triangulum_Australe,TrA
23828,-6406,Tucana,Tuc
10263,5748,Ursa_Major,UMa
14974,7504,Ursa_Minor,UMi
9337,-4851,Vela,Vel
13343,-349,Virgo,Vir
7659,-6939,Volans,Vol
20367,2503,Vulpecula,Vul
0,0,End,End

